,time,code,open,high,low,close,volume,amount,open_interest
0,2019-08-01 15:00:00,sse.601318,87.5,88.34,87.01,87.51,427596.0,3743916591.0,
1,2019-08-02 15:00:00,sse.601318,86.1,86.49,85.5,86.03,728970.0,6268998438.0,
2,2019-08-05 15:00:00,sse.601318,85.06,85.86,84.58,84.61,684847.0,5821899847.0,
3,2019-08-06 15:00:00,sse.601318,83.1,84.88,82.15,84.51,1010340.0,8429945011.0,
4,2019-08-07 15:00:00,sse.601318,84.81,84.95,83.35,83.47,532355.0,4470107316.0,
5,2019-08-08 15:00:00,sse.601318,83.99,84.55,83.4,84.51,567264.0,4770686076.0,
6,2019-08-09 15:00:00,sse.601318,85.1,85.28,84.02,84.35,449361.0,3800362685.0,
7,2019-08-12 15:00:00,sse.601318,84.46,86.77,84.46,86.5,594238.0,5084372810.0,
8,2019-08-13 15:00:00,sse.601318,85.95,86.25,84.77,85.01,515017.0,4401472137.0,
9,2019-08-14 15:00:00,sse.601318,86.38,86.57,85.01,85.04,533363.0,4576817836.0,
10,2019-08-15 15:00:00,sse.601318,83.8,86.34,83.53,86.31,702273.0,5987124720.0,
11,2019-08-16 15:00:00,sse.601318,87.0,88.3,86.35,87.46,932311.0,8148943124.0,
12,2019-08-19 15:00:00,sse.601318,88.3,88.46,87.25,88.45,837354.0,7360284611.0,
13,2019-08-20 15:00:00,sse.601318,88.3,88.33,87.62,87.94,504393.0,4435790961.0,
14,2019-08-21 15:00:00,sse.601318,87.65,88.17,87.35,87.73,335320.0,2943814928.0,
15,2019-08-22 15:00:00,sse.601318,87.86,88.08,87.4,87.98,365037.0,3202804688.0,
16,2019-08-23 15:00:00,sse.601318,87.95,90.26,87.82,89.89,885689.0,7930036407.0,
17,2019-08-26 15:00:00,sse.601318,88.3,88.6,87.15,87.5,990268.0,8701773329.0,
18,2019-08-27 15:00:00,sse.601318,88.05,88.8,87.57,87.68,767827.0,6765874677.0,
19,2019-08-28 15:00:00,sse.601318,87.61,87.92,86.85,86.9,516092.0,4497895399.0,
20,2019-08-29 15:00:00,sse.601318,87.15,87.48,86.17,86.7,464332.0,4028377004.0,
21,2019-08-30 15:00:00,sse.601318,87.7,88.15,86.41,87.32,564655.0,4932841956.0,
22,2019-09-02 15:00:00,sse.601318,87.0,88.88,86.88,88.5,635806.0,5619499370.0,
23,2019-09-03 15:00:00,sse.601318,88.6,88.9,87.79,88.25,512751.0,4525884596.0,
24,2019-09-04 15:00:00,sse.601318,87.83,88.4,87.22,88.3,605953.0,5325414023.0,
25,2019-09-05 15:00:00,sse.601318,88.8,90.31,88.31,89.23,1007565.0,9016307901.0,
26,2019-09-06 15:00:00,sse.601318,89.95,90.7,89.28,90.7,688752.0,6204699653.0,
27,2019-09-09 15:00:00,sse.601318,91.37,91.53,89.98,90.4,702401.0,6374337298.0,
28,2019-09-10 15:00:00,sse.601318,90.49,90.55,88.9,89.44,484548.0,4336398320.0,
29,2019-09-11 15:00:00,sse.601318,89.8,90.08,88.75,89.56,455860.0,4081637789.0,
30,2019-09-12 15:00:00,sse.601318,90.09,92.5,89.75,92.34,793048.0,7231017511.0,
31,2019-09-16 15:00:00,sse.601318,92.3,92.33,91.12,91.35,548412.0,5026202112.0,
32,2019-09-17 15:00:00,sse.601318,90.9,90.92,89.22,89.52,640333.0,5773323708.0,
33,2019-09-18 15:00:00,sse.601318,89.82,90.48,89.58,90.0,419771.0,3778486404.0,
34,2019-09-19 15:00:00,sse.601318,90.5,90.62,89.01,89.6,421580.0,3773996564.0,
35,2019-09-20 15:00:00,sse.601318,89.89,90.29,89.45,89.85,456923.0,4105057124.0,
36,2019-09-23 15:00:00,sse.601318,89.44,89.44,88.15,88.91,513667.0,4548689259.0,
37,2019-09-24 15:00:00,sse.601318,89.0,89.41,88.4,88.95,405350.0,3607588863.0,
38,2019-09-25 15:00:00,sse.601318,88.39,89.17,88.15,88.78,388584.0,3446057682.0,
39,2019-09-26 15:00:00,sse.601318,89.2,89.77,88.33,88.35,486370.0,4330579276.0,
40,2019-09-27 15:00:00,sse.601318,88.53,88.68,87.88,88.3,329554.0,2904720762.0,
41,2019-09-30 15:00:00,sse.601318,87.94,88.19,87.01,87.04,460784.0,4034487316.0,
